nUserAuditID,nUserIDBefore,cFirstNameBefore,cSurnameBefore,cAddressBefore,cZipCodeBefore,cPhoneNumberBefore,cEmailBefore,nTotalSpentBefore,nUserIDAfter,cFirstNameAfter,cSurnameAfter,cAddressAfter,cZipCodeAfter,cPhoneNumberAfter,cEmailAfter,nTotalSpentAfter,cTypeOfStatement,cTimeOfQuery,cDBMSUserID,cDBMSUser,cHostID,cHost
38,7,Jens,Olesen,Vandværksvej 3,4200,76313244,jens@olesen.dk,"0,00",7,Jens,Olesen,Vandværksvej 3,4200,76313244,jens@olesen.dk,"16,00",Update,2019-12-14 21:43:00.1400000,1,sa,"19052     ",DESKTOP-JIGR9V8
39,7,Jens,Olesen,Vandværksvej 3,4200,76313244,jens@olesen.dk,"16,00",7,Jens,Olesen,Vandværksvej 3,4200,76313244,jens@olesen.dk,"33,50",Update,2019-12-14 21:43:18.1900000,1,sa,"19052     ",DESKTOP-JIGR9V8
40,8,Bibi,Albert,Nordre Fasanvej 32,2000,89785544,bibi@albert.dk,"0,00",8,Bibi,Albert,Nordre Fasanvej 32,2000,89785544,bibi@albert.dk,"39,00",Update,2019-12-14 21:44:09.9533333,1,sa,"19052     ",DESKTOP-JIGR9V8
41,9,Lone,Kragh,Smalegade 8,2000,34233344,lone@kragh.dk,"0,00",9,Lone,Kragh,Smalegade 8,2000,34233344,lone@kragh.dk,"11,50",Update,2019-12-14 21:44:52.9566667,1,sa,"19052     ",DESKTOP-JIGR9V8
42,9,Lone,Kragh,Smalegade 8,2000,34233344,lone@kragh.dk,"11,50",9,Lone,Kragh,Smalegade 8,2000,34233344,lone@kragh.dk,"23,00",Update,2019-12-14 21:44:54.8400000,1,sa,"19052     ",DESKTOP-JIGR9V8
43,9,Lone,Kragh,Smalegade 8,2000,34233344,lone@kragh.dk,"23,00",9,Lone,Kragh,Smalegade 8,2000,34233344,lone@kragh.dk,"48,50",Update,2019-12-14 21:45:08.6133333,1,sa,"19052     ",DESKTOP-JIGR9V8
44,9,Lone,Kragh,Smalegade 8,2000,34233344,lone@kragh.dk,"48,50",9,Lone,Kragh,Smalegade 8,2000,34233344,lone@kragh.dk,"74,00",Update,2019-12-14 21:45:14.3733333,1,sa,"19052     ",DESKTOP-JIGR9V8
45,9,Lone,Kragh,Smalegade 8,2000,34233344,lone@kragh.dk,"74,00",9,Lone,Kragh,Smalegade 8,2000,34233344,lone@kragh.dk,"121,50",Update,2019-12-14 21:46:45.9933333,1,sa,"19052     ",DESKTOP-JIGR9V8
46,9,Lone,Kragh,Smalegade 8,2000,34233344,lone@kragh.dk,"121,50",9,Lone,Kragh,Smalegade 8,2000,34233344,lone@kragh.dk,"134,00",Update,2019-12-14 21:47:06.7033333,1,sa,"19052     ",DESKTOP-JIGR9V8
47,9,Lone,Kragh,Smalegade 8,2000,34233344,lone@kragh.dk,"134,00",9,Lone,Kragh,Smalegade 8,2000,34233344,lone@kragh.dk,"138,50",Update,2019-12-14 21:47:08.9000000,1,sa,"19052     ",DESKTOP-JIGR9V8
48,9,Lone,Kragh,Smalegade 8,2000,34233344,lone@kragh.dk,"138,50",9,Lone,Kragh,Smalegade 8,2000,34233344,lone@kragh.dk,"174,50",Update,2019-12-14 21:47:26.7433333,1,sa,"19052     ",DESKTOP-JIGR9V8
49,10,Britta,Nielsen,Ålekistevej 230,2720,90908888,britta@nielsen.dk,"0,00",10,Britta,Nielsen,Ålekistevej 230,2720,90908888,britta@nielsen.dk,"30,00",Update,2019-12-14 21:48:05.0100000,1,sa,"19052     ",DESKTOP-JIGR9V8
50,10,Britta,Nielsen,Ålekistevej 230,2720,90908888,britta@nielsen.dk,"30,00",10,Britta,Nielsen,Ålekistevej 230,2720,90908888,britta@nielsen.dk,"60,00",Update,2019-12-14 21:48:06.4566667,1,sa,"19052     ",DESKTOP-JIGR9V8
51,10,Britta,Nielsen,Ålekistevej 230,2720,90908888,britta@nielsen.dk,"60,00",10,Britta,Nielsen,Ålekistevej 230,2720,90908888,britta@nielsen.dk,"74,50",Update,2019-12-14 21:48:14.9400000,1,sa,"19052     ",DESKTOP-JIGR9V8
52,11,Hanibal,Stump,Linde Alle 3,2720,77664454,hanibal@stump.dk,"0,00",11,Hanibal,Stump,Linde Alle 3,2720,77664454,hanibal@stump.dk,"13,50",Update,2019-12-14 21:48:51.0433333,1,sa,"19052     ",DESKTOP-JIGR9V8
53,11,Hanibal,Stump,Linde Alle 3,2720,77664454,hanibal@stump.dk,"13,50",11,Hanibal,Stump,Linde Alle 3,2720,77664454,hanibal@stump.dk,"25,00",Update,2019-12-14 21:49:12.3600000,1,sa,"19052     ",DESKTOP-JIGR9V8
54,11,Hanibal,Stump,Linde Alle 3,2720,77664454,hanibal@stump.dk,"25,00",11,Hanibal,Stump,Linde Alle 3,2720,77664454,hanibal@stump.dk,"32,85",Update,2019-12-14 21:49:22.9800000,1,sa,"19052     ",DESKTOP-JIGR9V8
55,11,Hanibal,Stump,Linde Alle 3,2720,77664454,hanibal@stump.dk,"32,85",11,Hanibal,Stump,Linde Alle 3,2720,77664454,hanibal@stump.dk,"40,70",Update,2019-12-14 21:49:23.3700000,1,sa,"19052     ",DESKTOP-JIGR9V8
56,11,Hanibal,Stump,Linde Alle 3,2720,77664454,hanibal@stump.dk,"40,70",11,Hanibal,Stump,Linde Alle 3,2720,77664454,hanibal@stump.dk,"55,70",Update,2019-12-14 21:50:19.2933333,1,sa,"19052     ",DESKTOP-JIGR9V8
57,12,Ali,Kaya,Engelsborgvej 32,2800,43543322,ali@kaya.dk,"0,00",12,Ali,Kaya,Engelsborgvej 32,2800,43543322,ali@kaya.dk,"25,50",Update,2019-12-14 21:50:59.0933333,1,sa,"19052     ",DESKTOP-JIGR9V8
58,12,Ali,Kaya,Engelsborgvej 32,2800,43543322,ali@kaya.dk,"25,50",12,Ali,Kaya,Engelsborgvej 32,2800,43543322,ali@kaya.dk,"50,50",Update,2019-12-14 21:51:15.2733333,1,sa,"19052     ",DESKTOP-JIGR9V8
59,12,Ali,Kaya,Engelsborgvej 32,2800,43543322,ali@kaya.dk,"50,50",12,Ali,Kaya,Engelsborgvej 32,2800,43543322,ali@kaya.dk,"68,00",Update,2019-12-14 21:51:58.4166667,1,sa,"19052     ",DESKTOP-JIGR9V8
60,12,Ali,Kaya,Engelsborgvej 32,2800,43543322,ali@kaya.dk,"68,00",12,Ali,Kaya,Engelsborgvej 32,2800,43543322,ali@kaya.dk,"95,50",Update,2019-12-14 21:52:08.4300000,1,sa,"19052     ",DESKTOP-JIGR9V8
61,12,Ali,Kaya,Engelsborgvej 32,2800,43543322,ali@kaya.dk,"95,50",12,Ali,Kaya,Engelsborgvej 32,2800,43543322,ali@kaya.dk,"113,50",Update,2019-12-14 21:52:51.5833333,1,sa,"19052     ",DESKTOP-JIGR9V8
