nCreditCardAuditID,nCreditCardIDBefore,cCardNumberBefore,nIBANIDBefore,nCardHolderIDBefore,cExpiryDateBefore,cCCVBefore,nTotalAmountSpentBefore,nUserIDBefore,nCreditCardIDAfter,cCardNumberAfter,nIBANIDAfter,nCardHolderIDAfter,cExpiryDateAfter,cCCVAfter,nTotalAmountSpentAfter,nUserIDAfter,cTypeOfStatement,cTimeOfQuery,cDBMSUserID,cDBMSUser,cHostID,cHost
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,3344556677889900,NULL,11,11/21,578,"0,00",11,Insert,2019-12-14 21:23:49.8200000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,3355667788990011,NULL,12,12/21,580,"0,00",12,Insert,2019-12-14 21:23:49.8200000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,3366778899001122,NULL,12,01/22,590,"0,00",12,Insert,2019-12-14 21:23:49.8200000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,3377889900112233,NULL,12,02/22,610,"0,00",12,Insert,2019-12-14 21:23:49.8200000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24,3388990011223344,NULL,13,03/22,620,"0,00",13,Insert,2019-12-14 21:23:49.8200000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,3399001122334455,NULL,13,04/22,630,"0,00",13,Insert,2019-12-14 21:23:49.8200000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,4411223344556677,NULL,13,04/22,640,"0,00",13,Insert,2019-12-14 21:23:49.8200000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,4422334455667788,NULL,14,05/22,650,"0,00",14,Insert,2019-12-14 21:23:49.8200000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,4433445566778899,NULL,14,06/22,660,"0,00",14,Insert,2019-12-14 21:23:49.8200000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,4444556677889900,NULL,14,07/22,670,"0,00",14,Insert,2019-12-14 21:23:49.8200000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,4455667788990011,NULL,15,08/22,680,"0,00",15,Insert,2019-12-14 21:23:49.8200000,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31,4466778899001122,NULL,15,09/22,690,"0,00",15,Insert,2019-12-14 21:23:49.8233333,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32,4477889900112233,NULL,15,10/22,700,"0,00",15,Insert,2019-12-14 21:23:49.8233333,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,4488990011223344,NULL,15,11/22,710,"0,00",15,Insert,2019-12-14 21:23:49.8233333,259,MicrosoftAccount\jsl28@hotmail.dk,"14148     ",DESKTOP-JIGR9V8
34,1,1122334455667788,1,1,04/20,444,"0,00",1,1,1122334455667788,1,1,04/20,444,"45,00",1,Update,2019-12-14 21:25:55.8633333,1,sa,"19052     ",DESKTOP-JIGR9V8
35,1,1122334455667788,1,1,04/20,444,"45,00",1,1,1122334455667788,1,1,04/20,444,"114,50",1,Update,2019-12-14 21:27:20.4433333,1,sa,"19052     ",DESKTOP-JIGR9V8
36,1,1122334455667788,1,1,04/20,444,"114,50",1,1,1122334455667788,1,1,04/20,444,"157,50",1,Update,2019-12-14 21:27:46.1900000,1,sa,"19052     ",DESKTOP-JIGR9V8
37,4,1155667788990011,2,2,07/20,777,"0,00",2,4,1155667788990011,2,2,07/20,777,"28,50",2,Update,2019-12-14 21:29:25.7300000,1,sa,"19052     ",DESKTOP-JIGR9V8
38,4,1155667788990011,2,2,07/20,777,"28,50",2,4,1155667788990011,2,2,07/20,777,"62,50",2,Update,2019-12-14 21:30:17.5366667,1,sa,"19052     ",DESKTOP-JIGR9V8
39,4,1155667788990011,2,2,07/20,777,"62,50",2,4,1155667788990011,2,2,07/20,777,"107,00",2,Update,2019-12-14 21:30:49.3100000,1,sa,"19052     ",DESKTOP-JIGR9V8
40,5,1166778899001122,3,3,08/20,888,"0,00",3,5,1166778899001122,3,3,08/20,888,"28,00",3,Update,2019-12-14 21:31:48.3600000,1,sa,"19052     ",DESKTOP-JIGR9V8
41,5,1166778899001122,3,3,08/20,888,"28,00",3,5,1166778899001122,3,3,08/20,888,"51,50",3,Update,2019-12-14 21:32:08.8333333,1,sa,"19052     ",DESKTOP-JIGR9V8
42,5,1166778899001122,3,3,08/20,888,"51,50",3,5,1166778899001122,3,3,08/20,888,"79,00",3,Update,2019-12-14 21:32:24.3000000,1,sa,"19052     ",DESKTOP-JIGR9V8
43,6,1177889900112233,4,4,09/20,999,"0,00",4,6,1177889900112233,4,4,09/20,999,"4,00",4,Update,2019-12-14 21:33:43.7333333,1,sa,"19052     ",DESKTOP-JIGR9V8
44,6,1177889900112233,4,4,09/20,999,"4,00",4,6,1177889900112233,4,4,09/20,999,"26,10",4,Update,2019-12-14 21:34:02.0833333,1,sa,"19052     ",DESKTOP-JIGR9V8
45,7,1188990011223344,4,4,10/20,111,"0,00",4,7,1188990011223344,4,4,10/20,111,"10,00",4,Update,2019-12-14 21:34:19.4266667,1,sa,"19052     ",DESKTOP-JIGR9V8
46,7,1188990011223344,4,4,10/20,111,"10,00",4,7,1188990011223344,4,4,10/20,111,"22,35",4,Update,2019-12-14 21:35:02.0600000,1,sa,"19052     ",DESKTOP-JIGR9V8
47,7,1188990011223344,4,4,10/20,111,"22,35",4,7,1188990011223344,4,4,10/20,111,"27,85",4,Update,2019-12-14 21:35:21.5833333,1,sa,"19052     ",DESKTOP-JIGR9V8
48,8,1199001122334455,5,5,11/20,222,"0,00",5,8,1199001122334455,5,5,11/20,222,"13,50",5,Update,2019-12-14 21:37:29.1233333,1,sa,"19052     ",DESKTOP-JIGR9V8
49,8,1199001122334455,5,5,11/20,222,"13,50",5,8,1199001122334455,5,5,11/20,222,"45,85",5,Update,2019-12-14 21:37:48.6800000,1,sa,"19052     ",DESKTOP-JIGR9V8
50,9,2211223344556677,5,5,12/20,333,"0,00",5,9,2211223344556677,5,5,12/20,333,"18,70",5,Update,2019-12-14 21:38:06.8900000,1,sa,"19052     ",DESKTOP-JIGR9V8
51,9,2211223344556677,5,5,12/20,333,"18,70",5,9,2211223344556677,5,5,12/20,333,"37,40",5,Update,2019-12-14 21:39:00.8866667,1,sa,"19052     ",DESKTOP-JIGR9V8
52,10,2222334455667788,6,6,01/21,456,"0,00",6,10,2222334455667788,6,6,01/21,456,"35,00",6,Update,2019-12-14 21:40:13.3266667,1,sa,"19052     ",DESKTOP-JIGR9V8
53,10,2222334455667788,6,6,01/21,456,"35,00",6,10,2222334455667788,6,6,01/21,456,"88,50",6,Update,2019-12-14 21:40:28.2600000,1,sa,"19052     ",DESKTOP-JIGR9V8
54,10,2222334455667788,6,6,01/21,456,"88,50",6,10,2222334455667788,6,6,01/21,456,"133,50",6,Update,2019-12-14 21:41:56.9233333,1,sa,"19052     ",DESKTOP-JIGR9V8
55,10,2222334455667788,6,6,01/21,456,"133,50",6,10,2222334455667788,6,6,01/21,456,"166,00",6,Update,2019-12-14 21:42:11.3133333,1,sa,"19052     ",DESKTOP-JIGR9V8
56,12,2255667788990011,7,7,03/21,478,"0,00",7,12,2255667788990011,7,7,03/21,478,"16,00",7,Update,2019-12-14 21:43:00.1300000,1,sa,"19052     ",DESKTOP-JIGR9V8
57,12,2255667788990011,7,7,03/21,478,"16,00",7,12,2255667788990011,7,7,03/21,478,"33,50",7,Update,2019-12-14 21:43:18.1900000,1,sa,"19052     ",DESKTOP-JIGR9V8
58,13,2266778899001122,8,8,04/21,489,"0,00",8,13,2266778899001122,8,8,04/21,489,"39,00",8,Update,2019-12-14 21:44:09.9500000,1,sa,"19052     ",DESKTOP-JIGR9V8
59,14,2277889900112233,NULL,9,05/21,512,"0,00",9,14,2277889900112233,NULL,9,05/21,512,"11,50",9,Update,2019-12-14 21:44:52.9566667,1,sa,"19052     ",DESKTOP-JIGR9V8
60,14,2277889900112233,NULL,9,05/21,512,"11,50",9,14,2277889900112233,NULL,9,05/21,512,"23,00",9,Update,2019-12-14 21:44:54.8400000,1,sa,"19052     ",DESKTOP-JIGR9V8
61,14,2277889900112233,NULL,9,05/21,512,"23,00",9,14,2277889900112233,NULL,9,05/21,512,"48,50",9,Update,2019-12-14 21:45:08.6100000,1,sa,"19052     ",DESKTOP-JIGR9V8
62,14,2277889900112233,NULL,9,05/21,512,"48,50",9,14,2277889900112233,NULL,9,05/21,512,"74,00",9,Update,2019-12-14 21:45:14.3733333,1,sa,"19052     ",DESKTOP-JIGR9V8
63,14,2277889900112233,NULL,9,05/21,512,"74,00",9,14,2277889900112233,NULL,9,05/21,512,"121,50",9,Update,2019-12-14 21:46:45.9900000,1,sa,"19052     ",DESKTOP-JIGR9V8
64,14,2277889900112233,NULL,9,05/21,512,"121,50",9,14,2277889900112233,NULL,9,05/21,512,"134,00",9,Update,2019-12-14 21:47:06.7033333,1,sa,"19052     ",DESKTOP-JIGR9V8
65,14,2277889900112233,NULL,9,05/21,512,"134,00",9,14,2277889900112233,NULL,9,05/21,512,"138,50",9,Update,2019-12-14 21:47:08.9000000,1,sa,"19052     ",DESKTOP-JIGR9V8
66,14,2277889900112233,NULL,9,05/21,512,"138,50",9,14,2277889900112233,NULL,9,05/21,512,"174,50",9,Update,2019-12-14 21:47:26.7400000,1,sa,"19052     ",DESKTOP-JIGR9V8
67,17,3311223344556677,NULL,10,08/21,544,"0,00",10,17,3311223344556677,NULL,10,08/21,544,"30,00",10,Update,2019-12-14 21:48:05.0100000,1,sa,"19052     ",DESKTOP-JIGR9V8
68,17,3311223344556677,NULL,10,08/21,544,"30,00",10,17,3311223344556677,NULL,10,08/21,544,"60,00",10,Update,2019-12-14 21:48:06.4566667,1,sa,"19052     ",DESKTOP-JIGR9V8
69,17,3311223344556677,NULL,10,08/21,544,"60,00",10,17,3311223344556677,NULL,10,08/21,544,"74,50",10,Update,2019-12-14 21:48:14.9400000,1,sa,"19052     ",DESKTOP-JIGR9V8
70,18,3322334455667788,NULL,11,09/21,556,"0,00",11,18,3322334455667788,NULL,11,09/21,556,"13,50",11,Update,2019-12-14 21:48:51.0400000,1,sa,"19052     ",DESKTOP-JIGR9V8
71,18,3322334455667788,NULL,11,09/21,556,"13,50",11,18,3322334455667788,NULL,11,09/21,556,"25,00",11,Update,2019-12-14 21:49:12.3600000,1,sa,"19052     ",DESKTOP-JIGR9V8
72,18,3322334455667788,NULL,11,09/21,556,"25,00",11,18,3322334455667788,NULL,11,09/21,556,"32,85",11,Update,2019-12-14 21:49:22.9766667,1,sa,"19052     ",DESKTOP-JIGR9V8
73,18,3322334455667788,NULL,11,09/21,556,"32,85",11,18,3322334455667788,NULL,11,09/21,556,"40,70",11,Update,2019-12-14 21:49:23.3666667,1,sa,"19052     ",DESKTOP-JIGR9V8
74,18,3322334455667788,NULL,11,09/21,556,"40,70",11,18,3322334455667788,NULL,11,09/21,556,"55,70",11,Update,2019-12-14 21:50:19.2900000,1,sa,"19052     ",DESKTOP-JIGR9V8
75,21,3355667788990011,NULL,12,12/21,580,"0,00",12,21,3355667788990011,NULL,12,12/21,580,"25,50",12,Update,2019-12-14 21:50:59.0900000,1,sa,"19052     ",DESKTOP-JIGR9V8
76,21,3355667788990011,NULL,12,12/21,580,"25,50",12,21,3355667788990011,NULL,12,12/21,580,"50,50",12,Update,2019-12-14 21:51:15.2733333,1,sa,"19052     ",DESKTOP-JIGR9V8
77,21,3355667788990011,NULL,12,12/21,580,"50,50",12,21,3355667788990011,NULL,12,12/21,580,"68,00",12,Update,2019-12-14 21:51:58.4133333,1,sa,"19052     ",DESKTOP-JIGR9V8
78,21,3355667788990011,NULL,12,12/21,580,"68,00",12,21,3355667788990011,NULL,12,12/21,580,"95,50",12,Update,2019-12-14 21:52:08.4300000,1,sa,"19052     ",DESKTOP-JIGR9V8
79,22,3366778899001122,NULL,12,01/22,590,"0,00",12,22,3366778899001122,NULL,12,01/22,590,"18,00",12,Update,2019-12-14 21:52:51.5800000,1,sa,"19052     ",DESKTOP-JIGR9V8
